,prop_type,year_built,beds,baths_full,garage,baths_half,price,baths,rank,photo_count,state_code,Property Size(Sq. Ft),Alexandria,Arlington,Brentwood,Capitol Heights,District Heights,Falls Church,Hyattsville,Landover,McLean,Mount Rainier,Suitland,Takoma Park,Temple Hills,University Park,Washington,Time
163,1,1923,3,2,0,1,799000,3,18,30,1,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.0
164,2,1917,6,3,2,1,900000,4,40,79,1,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
165,1,1997,3,2,2,2,655000,4,31,53,2,2124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
166,2,1948,3,2,1,0,775000,2,25,35,2,1440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
167,2,1962,4,3,2,0,674900,3,7,40,2,1578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0
168,2,1920,3,1,0,0,470000,1,34,35,1,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
169,1,1996,3,3,2,1,920000,4,28,42,2,1170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
170,1,1989,3,3,0,1,526000,4,4,55,2,2760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
171,1,1999,3,3,2,1,775000,4,2,64,2,1139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0
172,1,1954,2,1,0,1,490000,2,15,20,2,2296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0
173,2,1951,5,4,0,0,1443000,4,39,51,2,3220,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0
174,2,1940,3,1,0,1,899900,2,22,39,2,2146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
175,1,1977,3,2,0,1,1130000,3,2,41,1,2788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.0
176,1,1954,3,1,0,1,487000,2,15,29,2,1480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
177,2,1962,5,3,1,0,760000,3,24,47,2,3822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
178,1,2001,3,2,1,1,695000,3,24,31,2,2482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
179,1,2003,1,1,0,0,272000,1,24,28,2,695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
180,2,1900,4,1,0,1,730000,2,31,30,2,614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0
181,1,1910,2,2,0,0,555000,2,17,36,1,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
182,1,1955,3,2,0,0,708000,2,33,39,2,603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0
183,2,1952,3,2,2,0,441250,2,9,1,2,1276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0
184,2,1955,3,2,1,2,1152000,4,1,46,1,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.0
185,1,1965,2,2,0,0,225000,2,13,31,2,1544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
186,2,1952,2,2,0,0,515000,2,11,26,1,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.0
187,2,1951,4,2,0,0,687500,2,40,24,2,1232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
188,2,1957,5,3,0,0,385000,3,21,41,3,1115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,134.0
189,2,1952,4,3,1,1,694000,4,12,34,3,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.0
190,1,1940,1,1,0,0,120000,1,32,14,1,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.0
191,2,1929,4,2,1,0,772500,2,35,1,1,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.0
192,2,1969,4,2,2,1,660000,3,14,1,2,1240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
193,2,1933,4,3,1,1,1775000,4,1,1,1,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
194,1,1996,2,2,2,1,1450000,3,6,24,2,3625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
195,2,1941,3,2,0,0,300000,2,6,1,3,1160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
196,2,1955,3,1,0,1,517100,2,19,29,2,1490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
197,1,1966,1,1,1,1,590000,2,19,40,1,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137.0
198,2,1968,4,2,1,0,610000,2,39,22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0
